No.,Component,Qty.,Unit Price,Total,Link
1,RC522 RFID Reader,1,93,93,https://robu.in/product/rc522-rfid-card-reader-module-13-56mhz/
2,RFID Cards,1,51,51,https://robu.in/product/rfid-13-56mhz-card/
3,Tactile Switch Caps,1,21,21,https://robu.in/product/round-cap-for-12x12x7-3mm-square-switch-black-pack-of-10/
4,Tactile Push Buttons,1,58,58,https://robu.in/product/12x12x7-3mm-tactile-push-button-switch-10pcs/
5,XIAO ESP32-C3,1,739,739,https://robu.in/product/seeed-studio-xiao-esp32c3-tiny-mcu-board-with-wi-fi-and-ble-battery-charge-supported-power-efficiency-and-rich-interface/
6,TFT LCD Display,1,679,679,https://robu.in/product/2-2-inch-240320-lcd-color-screen-tft-spi-serial-interface-module-compatible-with-5110/
7,Passive Buzzer,1,47,47,https://robu.in/product/1-month-warranty-1248/
8,Helett HT410 Barcode Scanner,1,1650,1650,https://www.amazon.in/helett-HT410-Handheld-Indicator-Induction/dp/B0CBC9G7W2/
9,Robu 3D Printing Services,1,572,572,https://robu.in/services/
,,,,Grand Total,3910
